STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Telangana,ADILABAD,1,1,Lotus,1,52,52.0,3,1,377374,1489790,3099414,231450
Telangana,ADILABAD,0,2,Car,1,0,54.0,3,2,318814,1489790,18477888,847000
Telangana,ADILABAD,0,3,Hand,1,3,52.0,3,1,314238,1489790,36491000,15300000
Uttar Pradesh,AGRA,1,1,Lotus,1,5,58.0,2,3,646875,1937690,74274036,8606522
Uttar Pradesh,AGRA,0,4,Elephant,1,0,47.0,2,2,435329,1937690,133784385,22251891
Uttar Pradesh,AGRA,0,3,Hand,2,0,54.0,2,2,45149,1937690,55075753,0
Maharashtra,AHMADNAGAR,1,1,Lotus,1,0,37.0,1,3,704660,1861396,168664576,2623964
Maharashtra,AHMADNAGAR,0,5,Clock,1,1,34.0,1,4,423186,1861396,94488381,32549132
Maharashtra,AHMADNAGAR,0,6,Cup & Saucer,1,0,62.0,1,4,31807,1861396,13949000,1400000
Gujarat,AHMEDABAD EAST,1,1,Lotus,1,0,58.0,1,5,749834,1811851,74699690,6252577
Gujarat,AHMEDABAD EAST,0,3,Hand,2,6,38.0,1,6,315504,1811851,40375418,3121888
Gujarat,AHMEDABAD WEST,1,1,Lotus,1,0,69.0,2,2,641622,1643317,89474039,0
Gujarat,AHMEDABAD WEST,0,3,Hand,1,0,68.0,2,4,320076,1643317,262997727,18943977
Gujarat,AHMEDABAD WEST,0,4,Elephant,1,0,66.0,2,7,10028,1643317,5354000,0
Rajasthan,AJMER,1,1,Lotus,1,0,64.0,1,1,815076,1876346,85101774,8319942
Rajasthan,AJMER,0,3,Hand,1,0,40.0,1,4,398652,1876346,853998231,306012685
Rajasthan,AJMER,0,4,Elephant,1,0,60.0,2,2,13618,1876346,41740458,890000
Rajasthan,AJMER,0,7,Coat,1,0,60.0,2,2,13041,1876346,25792244,268705
Uttar Pradesh,AKBARPUR,1,1,Lotus,1,0,64.0,1,6,581282,1766121,28546617,559965
Uttar Pradesh,AKBARPUR,0,4,Elephant,2,0,46.0,1,2,306140,1766121,134448979,13619617
Uttar Pradesh,AKBARPUR,0,3,Hand,1,1,58.0,1,8,108341,1766121,19097262,8600000
Maharashtra,AKOLA,1,1,Lotus,1,1,60.0,1,8,554444,1865169,77153230,14985774
Maharashtra,AKOLA,0,6,Cup & Saucer,1,0,64.0,1,8,278848,1865169,58722916,0
Maharashtra,AKOLA,0,3,Hand,1,1,60.0,1,6,254370,1865169,14947292,483635
Kerala,ALAPPUZHA,1,8,"Hammer, Sickle and Star",1,2,54.0,1,8,445970,1356701,15268906,2220700
Kerala,ALAPPUZHA,0,3,Hand,2,0,52.0,1,2,435496,1356701,18665943,825000
Kerala,ALAPPUZHA,0,1,Lotus,1,1,64.0,1,3,187729,1356701,16484722,0
Kerala,ALATHUR,1,3,Hand,2,3,32.0,2,6,533815,1266794,1152816,0
Kerala,ALATHUR,0,8,"Hammer, Sickle and Star",1,0,44.0,2,3,374847,1266794,4083003,519379
Kerala,ALATHUR,0,9,Pot,1,4,61.0,2,6,89837,1266794,1261055,685000
Uttar Pradesh,ALIGARH,1,1,Lotus,1,0,46.0,1,6,656215,1887127,109522559,28095176
Uttar Pradesh,ALIGARH,0,4,Elephant,1,0,51.0,1,3,426954,1887127,281852783,0
Uttar Pradesh,ALIGARH,0,3,Hand,1,4,62.0,1,4,50880,1887127,12863000,4273034
West Bengal,ALIPURDUARS,1,1,Lotus,1,9,43.0,3,7,750804,1648383,1418730,0
West Bengal,ALIPURDUARS,0,10,Flowers and Grass,1,0,52.0,3,4,506815,1648383,9039609,581713
West Bengal,ALIPURDUARS,0,11,Spade & Stoker,2,0,42.0,3,2,54010,1648383,2804955,304672
West Bengal,ALIPURDUARS,0,3,Hand,1,0,44.0,3,8,27427,1648383,2320328,659760
Uttar Pradesh,ALLAHABAD,1,1,Lotus,2,6,69.0,1,3,494454,1716160,26919330,1600000
Uttar Pradesh,ALLAHABAD,0,12,Bicycle,1,0,63.0,1,4,310179,1716160,292681002,0
Uttar Pradesh,ALLAHABAD,0,3,Hand,1,1,49.0,1,1,31953,1716160,4200199,0
Uttar Pradesh,ALLAHABAD,0,8,Ears of Corn And Sickle,1,0,77.0,1,2,10403,1716160,31397972,308458
